ts,record_id,market_index,funding_rate,cumulative_funding_rate_long,cumulative_funding_rate_short,oracle_price_twap,mark_price_twap
2022-03-03 04:00:08-05:00,19712,8,55960528750,157925506972768,77478391372173,183257700564,183392005833
2022-03-03 04:00:08-05:00,19713,9,3786285833,738944920781,738944920781,9233124143,9242211229
2022-03-03 04:00:12-05:00,19714,5,1070256963333,2923723594774814,1294174242321016,4077144815189,4079713431901
2022-03-03 04:01:39-05:00,19715,4,3422629166,203838536397066,37231105735309,829619942436,829628156746
2022-03-03 04:05:22-05:00,19716,6,11830885833,11820502721030,9605296476268,16147067882,16175462008
2022-03-03 05:00:21-05:00,19717,7,-16239047083,241680716413093,239230571848618,323675284181,323636310468
2022-03-03 05:00:21-05:00,19718,12,-208205124166,40323308216278,25934888806843,1109233254408,1108733562110
2022-03-03 05:00:27-05:00,19719,8,90727395000,158016234367768,77569118767173,182521875380,182739621128
2022-03-03 05:00:28-05:00,19720,1,164422682996666,1002679982572483150,451023021391553373,433422940743957,433817555183149
2022-03-03 05:00:33-05:00,19721,6,14009374166,11834512095196,9619305850434,16056089526,16089712024
2022-03-03 05:00:34-05:00,19722,10,2661035833,1113698975380,1113698975380,8314475168,8320861654
2022-03-03 05:00:35-05:00,19723,3,-436804089166,-110287504435475,-169284723227053,923690638836,922642309022
2022-03-03 05:00:49-05:00,19724,2,12199374534166,48399776483597375,37843042292336544,28978302300201,29007580799083
