,user_position_pubkey,user_authority,position_index,market_index,quote_asset_amount,base_asset_amount,last_cumulative_funding_rate,entry_price
106,4rAaTCAMj5VpgNVKiYizabH7cMLhEA12seu2QXQNTyV3,C1CsbgQFvEvSXzuVHTr39tQHr3drDhjxeYiotd8eNocF,0.0,1.0,29.0,0.0006227903338,5333.399092053431,46564.62765414873
107,4rAaTCAMj5VpgNVKiYizabH7cMLhEA12seu2QXQNTyV3,C1CsbgQFvEvSXzuVHTr39tQHr3drDhjxeYiotd8eNocF,1.0,0.0,10.69,0.0697451902278,3.99134795996978,153.27221798499062
108,7ygRR63R5Q4PgkpfFJj5UhP9PczX9Dv9gU5ZDfw6cKW4,Hd6Nt7riMpJZ5X86SZaxrHsxYXfV5AZwduostfQGV1Xx,,,,,,
109,7c5Cqrn7cxuEvyXU7DWbG8aFhxQEkuqC4xW11uFzHLSh,kqkEMZvKAtvsbPgD7k1D79pGYjYYshTMJMetCAddNzj,,,,,,
110,CGbkMLP6fo7VjWfR66XnKWE2Zw1NHMF3HyepWjqYaMu1,2X7Rstys8EZRz46yhUr4ZhPzpSeGLkSvjp8SNgxaMijf,,,,,,
111,9p8NzK6WMyNrnKTZ5V1mfaTqpg2mSvbEoBhwTACjmesH,J5J1udcTsCXuzHb4MoJFswQd8GUHpQHtRcjqoErXH86L,,,,,,
112,BNpP1sKPAr7Dk1ymSrupge9KGMVpk4LfjTjawgi9YaC5,3NhNdphQiKwgHTmTJc4qVhp3aWjqnwMTYbRW1y9CZrZg,0.0,0.0,46.0,0.2586765446513,1.68753051646614,177.82826062567332
113,Hiquch17XQvdAm4hQkwkAdwBP2H76RYZN9PX3mk1vH85,AcyzyVyR1rnMLPfkmEv7rhs7ET25UEnGUSG3CvMLY2aT,,,,,,
114,AqVvR12j4y9mgVcyh5SNUv7bDkLk7fgCA11FsJx9QxQa,2VcMrMw9oUdGy8nempJTtMaK1Jh9KH6a1vZBgrbAyBXy,,,,,,
115,Bx7zwDrkKRHQp6MPVX6bYrJirn8gZiZy2sHtHXzbWbYn,4BVU3MHHjxeqDpWPQp5K6kQ79zr7A7aHcZChMaRuCmSZ,,,,,,
116,65Sb8qFUuemqsTYPrKFZhoa5dyKXRJ7XKSG473KRqi64,9Hm4Vec2ZGz1hUPfYdzWNspEvgcMBkk7MDUA3HLo7wBs,0.0,1.0,100.26,-0.0020476537767,1308.991876229493,48963.35559304322
117,8gqrASfUWDXgSG61toUrhf1SXuGM9cP42ZXoGddfsmiH,Bx75xahYNSW9G14EnjKntV1KnBWV7qWEgDneFZqWbHxn,0.0,1.0,29990.05,-0.6446010586358,2828.9619986038524,46524.97788860194
118,8tGgZ3rqKrvoaqpAuRdV4ZGAta7vAEwVUbgB3em312oG,BZWp63AK7ofzrzHomQZXYkB7DVButhDtpexCRgXsBuiC,1.0,3.0,2107.2,28.5570614000826,0.62707223600408,73.78910492498731
119,i3SKW3ywrwYucX9ySEx1C4zaUKGnzLerP3V38437NyV,8xQ3tsWVUe75EG1HmocULJ3kh52utveoFMEPotTGrKno,0.0,2.0,82.06,0.0199428220121,223.20896325282712,4114.76369543946
120,i3SKW3ywrwYucX9ySEx1C4zaUKGnzLerP3V38437NyV,8xQ3tsWVUe75EG1HmocULJ3kh52utveoFMEPotTGrKno,1.0,0.0,40.83,0.2149791489803,4.692114266703,189.92539599150396
121,i3SKW3ywrwYucX9ySEx1C4zaUKGnzLerP3V38437NyV,8xQ3tsWVUe75EG1HmocULJ3kh52utveoFMEPotTGrKno,2.0,4.0,20.31,0.1687948648053,-2.96166027460328,120.32356566905632
122,9a8LDUjo16S5KeN8W7ZywwchVog5vLS15VTuzdeZyESF,9qdJUeCDxjjuyuNykm6igX9E4PAqTb6eWnxShDFrDYJu,,,,,,
123,H8RVfQFMEJfkAECjKn1CS8mUKSL7Eyx2BibVmgKVrAFv,8Y4H8tY7hJXpB7R6ozYiHus9QN9ajnxJSoDfYBP6QNKW,,,,,,
124,D82bL4L4gWVB5uhMnv3r7VWDpmssMZEo7DX2sW5LjE3E,FaFM4a1A6fsAvV4cr9beveRCV5MsYLGzA5KjMzrkdb26,,,,,,
125,52BD5CZ6TM18xeSPnonYUoGZY4yR5awe1kaTSu1K6eaT,9AvYYpQCftZNuKpV6dPdM1ix23YvA4ceo3mGT3889E4X,0.0,0.0,5.49,-0.0311611669917,-5.17236724256046,176.18082151616147
126,4bW5HBuaCAXete3e523FLPqtUHZFtNvAJTkxdKEeuiUx,DfnQMkvk31qK3rKUQk7oVQf163P3BBnFQFbTfP7b5dro,,,,,,
